,id,OBJECTID,CVC_ID,region,district,name ,add,vac_type,easting,northing,lon,lat,type
1,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-280a,30,A00030,New Territories East,Sai Kung District,Tseung Kwan O Sports Centre,"9 Wan Lung Road, Tseung Kwan O",BioNTech,844794,819792,114.2596261,22.31710325,CVC
2,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-2809,2,A00001,Kowloon,Kwun Tong District,Kowloon Bay Sports Centre,"15 Kai Lok Street, Kowloon Bay",Sinovac,839850,820873,114.211643,22.32688272,CVC
3,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-2808,3,A00002,New Territories East,Tai Po District,Tai Po Hui Sports Centre,"7/F, Multi Car-Park Building, Fu Shin Estate, 8 Heung Sze Wui Street, Tai Po",BioNTech,835208,834077,114.1665767,22.44612512,CVC
4,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-2807,4,A00003,Hong Kong,Central & Western District,Sun Yat Sen Memorial Park Sports Centre,"2/F, 18 Eastern Street North, Sai Ying Pun, Hong Kong",BioNTech,832828,816808,114.1434928,22.29017362,CVC
5,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-2806,5,A00004,New Territories West,Yuen Long District,Yuen Long Sports Centre,"4/F, Yuen Long Leisure and Cultural Building, 52 Ma Tin Road, Yuen Long",BioNTech,820517,833569,114.0238624,22.4414655,CVC
6,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-2805,6,A00006,Hong Kong,Wan Chai District,Queen Elizabeth Stadium,"2/F & 3/F,18 Oi Kwan Road, Wan Chai",BioNTech,836476,815164,114.1788926,22.27533066,CVC
7,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-2804,7,A00007,Hong Kong,Eastern District,Sai Wan Ho Sports Centre,"2/F, 111 Shaukeiwan Road, Sai Wan Ho",BioNTech,840993,815909,114.2227229,22.28205202,CVC
8,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-2803,8,A00008,Kowloon,Kowloon City District,Ho Man Tin Sports Centre,"1/F, No. 1 Chung Yee Street, Ho Man Tin",BioNTech,836718,819221,114.1812418,22.31196785,CVC
9,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-2802,9,A00009,New Territories West,Islands District,Tung Chung Community Hall,"39 Man Tung Road, Tung Chung",BioNTech,812285,816851,113.9441446,22.29039857,CVC
10,CHP_CVS_CVC_V1.fid-49427263_17a19b1646c_-2801,10,A00011,Kowloon,Yau Tsim Mong District,Boundary Street Sports Centre No. 1 + No. 2,"200 Sai Yee Street, Mong Kok",BioNTech,835622,820739,114.170604,22.32567624,CVC
