Site.Name,Add,Site...GP.NHS.VHC.Covid.Clinic,Region,lon,lat
SOUTH BEACH MEDICAL CENTRE,KA22 8BS,Primary Care Delivery Site,Ayrshire & Arran ,-4.8149477,55.6397938
TAM'S BRIG SURGERY,KA8 8DD,Primary Care Delivery Site,Ayrshire & Arran ,-4.6265848,55.4717351
THE SURGERY,KA7 2AQ,Primary Care Delivery Site,Ayrshire & Arran ,-4.6354414,55.459338
DALBLAIR MEDICAL PRACTICE,KA7 1UQ,Primary Care Delivery Site,Ayrshire & Arran ,-4.630193,55.458678
BARNS MEDICAL PRACTICE,KA7 1UL,Primary Care Delivery Site,Ayrshire & Arran ,-4.6320868,55.4602732
THE CATHCART STREET MEDICAL PRACTICE,KA7 1BJ,Primary Care Delivery Site,Ayrshire & Arran ,-4.6336008,55.4639978
THE FULLARTON MEDICAL PRACTICE,KA7 1UL,Primary Care Delivery Site,Ayrshire & Arran ,-4.6320868,55.4602732
BALLANTRAE MEDICAL PRACTICE,KA26 0NB,Primary Care Delivery Site,Ayrshire & Arran ,-5.0048742,55.1012174
BEITH HEALTH CENTRE GP PRACTICE,KA15 2AE,Primary Care Delivery Site,Ayrshire & Arran ,-4.6340219,55.7517561
CROSSHOUSE MEDICAL PRACTICE,KA2 0LE,Primary Care Delivery Site,Ayrshire & Arran ,-4.5480384,55.6118984
DALMELLINGTON MEDICAL PRACTICE,KA6 7QL,Primary Care Delivery Site,Ayrshire & Arran ,-4.3986849,55.3229787
DUNDONALD MEDICAL PRACTICE,KA2 9HF,Primary Care Delivery Site,Ayrshire & Arran ,-4.5936803,55.5768027
GALSTON MEDICAL PRACTICE,KA4 8HW,Primary Care Delivery Site,Ayrshire & Arran ,-4.3790402,55.6002495
"DRS MCMASTER, MOORE & BROOKSBANK",KA26 9HQ,Primary Care Delivery Site,Ayrshire & Arran ,-4.8469749,55.2483077
DR MCCULLOCH & PARTNERS,KA26 9HQ,Primary Care Delivery Site,Ayrshire & Arran ,-4.8469749,55.2483077
BOURTREEHILL MEDICAL PRACTICE,KA11 1JU,Primary Care Delivery Site,Ayrshire & Arran ,-4.6346359,55.6192443
EGLINTON FAMILY PRACTICE,KA12 8TJ,Primary Care Delivery Site,Ayrshire & Arran ,-4.6749986,55.6311608
KILBIRNIE MEDICAL PRACTICE,KA25 6HS,Primary Care Delivery Site,Ayrshire & Arran ,-4.6858089,55.7472097
THE SURGERY,KA7 2AQ,Primary Care Delivery Site,Ayrshire & Arran ,-4.6354414,55.459338
RIVERSIDE MEDICAL PRACTICE,KA6 7LX,Primary Care Delivery Site,Ayrshire & Arran ,-4.5008653,55.3607478
STATION ROAD MEDICAL PRACTICE,KA9 1AQ,Primary Care Delivery Site,Ayrshire & Arran ,-4.6128617,55.5013139
KIRKHALL SURGERY,KA9 1AW,Primary Care Delivery Site,Ayrshire & Arran ,-4.608904,55.5022882
SALTCOATS GROUP PRACTICE,KA21 5LX,Primary Care Delivery Site,Ayrshire & Arran ,-4.7839695,55.6348202
STEWARTON MEDICAL PRACTICE,KA3 5BP,Primary Care Delivery Site,Ayrshire & Arran ,-4.5130767,55.6811547
TEMPLEHILL SURGERY,KA10 6BQ,Primary Care Delivery Site,Ayrshire & Arran ,-4.6670557,55.5441892
"DRS MCHATTIE, MCGREGOR & HOLLAND",KA10 6QR,Primary Care Delivery Site,Ayrshire & Arran ,-4.6652838,55.5449469
CUMBRAE MEDICAL PRACTICE,KA28 0DE,Primary Care Delivery Site,Ayrshire & Arran ,-4.9267084,55.7536416
FREW TERRACE SURGERY,KA12 9DY,Primary Care Delivery Site,Ayrshire & Arran ,-4.6641093,55.626634
STEVENSTON GROUP PRACTICE,KA20 3AB,Primary Care Delivery Site,Ayrshire & Arran ,-4.7565845,55.6406165
TAIGLUM MEDICAL PRACTICE,KA6 7AY,Primary Care Delivery Site,Ayrshire & Arran ,-4.461181,55.4341614
BALLOCHMYLE MEDICAL GROUP,KA5 6RU,Primary Care Delivery Site,Ayrshire & Arran ,-4.3313224,55.5028309
KILWINNING MEDICAL PRACTICE,KA13 6BL,Primary Care Delivery Site,Ayrshire & Arran ,-4.700533,55.6528749
OXENWARD SURGERY,KA13 6EH,Primary Care Delivery Site,Ayrshire & Arran ,-4.7017421,55.6538101
AUCHINLECK SURGERY,KA18 2AY,Primary Care Delivery Site,Ayrshire & Arran ,-4.2945594,55.4705398
DR KONDOL AND PARTNERS,KA17 0HD,Primary Care Delivery Site,Ayrshire & Arran ,-4.290398,55.6100627
BANKFIELD MEDICAL PRACTICE,KA7 3PR,Primary Care Delivery Site,Ayrshire & Arran ,-4.6071327,55.4431635
LARGS MEDICAL GROUP,KA30 8LH,Primary Care Delivery Site,Ayrshire & Arran ,-4.8664096,55.7979237
PORTLAND MEDICAL PRACTICE,KA1 2DL,Primary Care Delivery Site,Ayrshire & Arran ,-4.5038716,55.6078564
ARRAN MEDICAL GROUP,KA27 8NS,Primary Care Delivery Site,Ayrshire & Arran ,-5.1341938,55.5258921
TANYARD MEDICAL PRACTICE,KA18 1BF,Primary Care Delivery Site,Ayrshire & Arran ,-4.2667369,55.4530467
CENTRAL AVENUE SURGERY,KA22 7DX,Primary Care Delivery Site,Ayrshire & Arran ,-4.8061735,55.6506559
DALRY MEDICAL PRACTICE,KA24 4AF,Primary Care Delivery Site,Ayrshire & Arran ,-4.7231807,55.7067736
VALLEY MEDICAL PRACTICE,KA18 4BA,Primary Care Delivery Site,Ayrshire & Arran ,-4.1798573,55.3935274
Education Centre UHC,KA2 0BE,NHS Vaccination Centre,Ayrshire & Arran ,-4.5393885,55.6139385
Education Centre UHA,KA6 6DX,NHS Vaccination Centre,Ayrshire & Arran ,-4.5955377,55.4303317
Day Procedure Unit Covid Clinic,TD6 9BS,NHS Vaccination Centre,Borders,-2.741945,55.5954778
Outpatient Dept H BGH Covid Clinic,TD6 9BS,NHS Vaccination Centre,Borders,-2.741945,55.5954778
COVID Outpatients Dept,TD6 9BS,NHS Vaccination Centre,Borders,-2.741945,55.5954778
JEDBURGH MEDICAL PRACTICE,TD8 6EN,Primary Care Delivery Site,Borders,-2.5527076,55.4786335
NEWCASTLETON MEDICAL PRACTICE,TD9 0RU,Primary Care Delivery Site,Borders,-2.8128999,55.1819585
EILDON SURGERY,TD6 0PP,Primary Care Delivery Site,Borders,-2.6713063,55.5773298
SELKIRK MEDICAL PRACTICE,TD7 4LJ,Primary Care Delivery Site,Borders,-2.8393351,55.5503892
ST RONAN'S PRACTICE,EH44 6QE,Primary Care Delivery Site,Borders,-3.0669848,55.6160114
O'CONNELL STREET MEDICAL PRACTICE,TD9 9HU,Primary Care Delivery Site,Borders,-2.7848469,55.4232614
THE NEIDPATH PRACTICE,EH45 8JG,Primary Care Delivery Site,Borders,-3.1978318,55.6514751
WEST LINTON MEDICAL PRACTICE,EH46 7EX,Primary Care Delivery Site,Borders,-3.3531937,55.753296
THE ELLWYN PRACTICE,TD1 2UA,Primary Care Delivery Site,Borders,-2.8034566,55.6159275
COLDSTREAM MEDICAL PRACTICE,TD12 4LQ,Primary Care Delivery Site,Borders,-2.2637897,55.6478279
THE TWEED PRACTICE,EH45 8JG,Primary Care Delivery Site,Borders,-3.1978318,55.6514751
BRAESIDE MEDICAL PRACTICE,TD1 2UA,Primary Care Delivery Site,Borders,-2.8034566,55.6159275
GLENFIELD MEDICAL PRACTICE,TD1 2UA,Primary Care Delivery Site,Borders,-2.8034566,55.6159275
WAVERLEY MEDICAL PRACTICE,TD1 2UA,Primary Care Delivery Site,Borders,-2.8034566,55.6159275
EYEMOUTH MEDICAL PRACTICE,TD14 5DD,Primary Care Delivery Site,Borders,-2.0914994,55.8709765
TEVIOT MEDICAL PRACTICE,TD9 9DT,Primary Care Delivery Site,Borders,-2.7874986,55.4231276
STOW & LAUDER HEALTH,TD1 2SQ,Primary Care Delivery Site,Borders,-2.8654571,55.6916123
EARLSTON MEDICAL PRACTICE,TD4 6DW,Primary Care Delivery Site,Borders,-2.6798216,55.6368559
DUNS MEDICAL GROUP,TD11 3EL,Primary Care Delivery Site,Borders,-2.3414155,55.7726007
ROXBURGH STREET SURGERY,TD1 1PF,Primary Care Delivery Site,Borders,-2.8128817,55.6187138
MERSE MEDICAL PRACTICE,TD11 3XP,Primary Care Delivery Site,Borders,-2.2099217,55.8012521
GREENLAW SURGERY,TD10 6XJ,Primary Care Delivery Site,Borders,-2.4620354,55.7080436
"Buccleuch Centre, Langholm",DG13 0AW,Covid-19 Vaccination Clinic,Dumfries,-3.0040833,55.1533783
Canonbie Village Hall,DG14 0UX,Covid-19 Vaccination Clinic,Dumfries,-2.952282,55.078956
Castle Douglas Town Hall,DG7 1DE,Covid-19 Vaccination Clinic,Dumfries,-3.932971,54.9392864
Dalbeattie Town Hall,DG5 4AD,Covid-19 Vaccination Clinic,Dumfries,-3.8218042,54.9327528
Drummore Church Hall,DG9 9PT,Covid-19 Vaccination Clinic,Dumfries,-4.8963809,54.6916203
Ecclefechan GP Practice,DG11 3BT,GP Practice,Dumfries,-3.2646756,55.0588306
Glenluce Village Hall,DG9 0NL,Covid-19 Vaccination Clinic,Dumfries,-5.0808351,54.9744059
Kirkcudbright Pipe Band Hall,DG6 4AJ,Covid-19 Vaccination Clinic,Dumfries,-4.0519188,54.8359417
Lochmaben Hospital,DG11 1RQ,Covid-19 Vaccination Clinic,Dumfries,-3.4532328,55.127749
Lockerbie Ice Rink,DG11 2AR,Covid-19 Vaccination Clinic,Dumfries,-3.359681,55.126825
Loreburn Hall,DG1 2HP,Covid-19 Vaccination Clinic,Dumfries,-3.6073807,55.0700924
Market Hall/Victoria Hall/Newington TBC,DG12 6EE,Covid-19 Vaccination Clinic,Dumfries,-3.2612105,54.986927
Moffat Hospital,DG10 9JY,Covid-19 Vaccination Clinic,Dumfries,-3.4318804,55.3310478
Mountainhall Vaccination Centre,DG1 4AP,Covid-19 Vaccination Clinic,Dumfries,-3.599235,55.0563054
"McMillan Hall, Newton Stewart",DG8 6EQ,Covid-19 Vaccination Clinic,Dumfries,-4.4836344,54.9562194
Queen of the South Indoor Arena,DG2 9BA,Covid-19 Vaccination Clinic,Dumfries,-3.625434,55.0699786
