Name,Address,Vaccine Type,Type,Longitude,Latitude
Raffles Medical Clinic Holland Village,"118 Holland Avenue, Singapore 278997",Pfizer,Clinic,103.7961,1.310531
Mei Ling Clinic,"158 Mei Ling Street, Singapore 140158",Pfizer,Clinic,103.8027,1.292644
Family Medicine Clinic Chinatown,"133 New Bridge Road, Singapore 059413",Pfizer,Clinic,103.8447,1.285209
Medihealth Bishan Clinic & Surgery,"121 Bishan Street 12, Singapore 570121",Pfizer,Clinic,103.8511,1.347274
Shenton Medical Group Alexndra Retail Centre,"460 Alexandra Road, Singapore 119963",Pfizer,Clinic,103.8015,1.273676
Assurance Medicine Clinic & Surgery,"370 Tanjong Katong Road, Singapore 437127",Pfizer,Clinic,103.8968,1.302923
Lee Clinic,"123 Bedok North Street 2, Singapore 460123",Pfizer,Clinic,103.9373,1.329265
Northeast Medical Group (Simei),"30 Simei Street 3, Singapore 529888",Pfizer,Clinic,103.9534,1.343147
Central 24-Hr Clinic,"446 Pasir Ris Drive 6, Singapore 510446",Pfizer,Clinic,103.9573,1.370467
Dr Stanley Peck Family Clinic,"636 Bukit Batok Central, Singapore 650636",Pfizer,Clinic,103.7518,1.349615
Lian Clinic,"18 Marsiling Lane, Singapore 730018",Pfizer,Clinic,103.7779,1.443392
EH Medical,"785E Woodlands Rise, Singapore 735785",Pfizer,Clinic,103.8049,1.447061
Frontier Medical Associates Yishun,"654 Yishun Avenue 4, Singapore 760654",Pfizer,Clinic,103.8405,1.423027
Kenneth Tan Medical Clinic,"658 Punggol East, Singapore 820658",Pfizer,Clinic,103.9195,1.39976
Etern Medical Clinic,"70 Pungol Centre, Singapore 828868",Pfizer,Clinic,103.9028,1.404819
Northeast Medical Group (Sengkang),"5 Sengkang Square, Singapore 545062",Pfizer,Clinic,103.896,1.391492
Raffles Medical Clinic Compass One,"1 Sengkang Square, Singapore 545078",Pfizer,Clinic,103.895,1.392011
Mission Medical Clinic,"780 Upper Serangoon Road, Singapore 534649",Pfizer,Clinic,103.8793,1.35456
Shenton Medical Group (Buangkok),"10 Sengkang Central, Singapore 545061",Pfizer,Clinic,103.8934,1.382916
EJ Tan Clinic and Surgery,"104 Jurong East Street 13, Singapore 600104",Pfizer,Clinic,103.7377,1.336637
