"","Local.Health.Board","Cluster","Practice.Name","PostCode","lon","lat"
"1","ANEURIN BEVAN LOCAL HEALTH BOARD","Caerphilly South","Aber Medical Centre"," CF83 4AZ",-3.2696649,51.5960853
"2","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North & West Wrexham","Caritas Surgery"," LL11 3NS",-3.0662941,53.0526751
"3","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy West","Uwchaled Medical Practice"," LL21 9UB",-3.5539072,53.0246667
"4","HYWEL DDA LOCAL HEALTH BOARD","South Pembrokeshire","Argyle Medical Group"," SA72 6HL",-4.9375226,51.6924441
"5","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","South Flintshire","Bradleys Practice"," CH7 2JL",-3.0809398,53.1668346
"6","HYWEL DDA LOCAL HEALTH BOARD","Llanelli","Meddygfa Gelli-Onn/Ash Grove"," SA15 3JH",-4.1624965,51.6844788
"7","HYWEL DDA LOCAL HEALTH BOARD","Llanelli","The Llwynhendy Health Centre"," SA14 9BN",-4.123662,51.6815993
"8","ABERTAWE BRO MORGANNWG LHB","Afan","Rosedale Medical Centre"," SA12 7BJ",-3.8094775,51.6060997
"9","HYWEL DDA LOCAL HEALTH BOARD","Amman/Gwendraeth","Amman Tawe Partnership","SA18 1NB",-3.9053448,51.8014717
"10","ABERTAWE BRO MORGANNWG LHB","Upper Valleys","Amman Tawe Partnership 4 Gwilym Road"," SA9 2GH",-3.8186236,51.7996621
"11","ABERTAWE BRO MORGANNWG LHB","Neath","Waterside Medical Practice Hunter Street"," SA11 2SF",-3.6535186,51.7322396
"12","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Central & South Denbighshire","Plas Meddyg"," LL15 1BP",-3.3073143,53.1146357
"13","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North Denbighshire","Clarence Medical Centre"," LL18 1DA",-3.492542,53.3170648
"14","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Central Wrexham","Strathmore Medical Practice"," LL11 2SA",-2.9913726,53.0514899
"15","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North West Flintshire","Pendre Surgery"," CH8 7RS",-3.2188257,53.2725861
"16","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North & West Wrexham","Pen Y Maes Health Centre"," LL11 4UF",-3.0285394,53.0779628
"17","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy East","Cadwgan Surgery"," LL29 9NP",-3.6942447,53.2866444
"18","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North Denbighshire","Prestatyn Iach"," LL19 9DH",-3.4058168,53.3330318
"19","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","South Wrexham","The Health Centre"," LL20 8HL",-3.1688519,52.9689338
"20","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","South Flintshire","Hope Family Medical Centre"," LL12 9NL",-3.033622,53.1150179
"21","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy East","Kinmel Bay Medical Centre"," LL18 5AU",-3.5179747,53.3116198
"22","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North East Flintshire","Hawarden Health Centre"," CH5 3PA",-3.0226378,53.1841237
"23","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North & West Wrexham","Bryn Darland Surgery"," LL11 3SA",-3.0710436,53.0534864
"24","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","South Flintshire","Pendre Surgery"," CH7 1SS",-3.1471257,53.168256
"25","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","South Flintshire","Roseneath Medical Practice"," CH7 2JL",-3.0809398,53.1668346
"26","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","South Wrexham","The Surgery"," LL14 2EN",-3.0497843,53.0087369
"27","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North & West Wrexham","Forge Road Surgery"," LL11 5RR",-3.0389716,53.0592638
"28","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North East Flintshire","Marches Medical Practice"," CH4 0NR",-2.9933804,53.1652689
"29","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Central Wrexham","Plas Y Bryn Medical Centre"," LL13 7DD",-2.9950712,53.0430268
"30","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Central & South Denbighshire","Pen-y-Bont Surgery"," LL17 0LU",-3.449785,53.2580714
"31","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","South Wrexham","The Surgery"," LL14 5BS",-3.0598409,52.9307246
"32","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North & West Wrexham","The Health Centre"," LL12 8EP",-2.9692712,53.0883846
"33","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","South Wrexham","The Surgery"," LL13 0ED",-2.9348445,52.9697203
"34","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Central & South Denbighshire","Bronyffynnon Surgery"," LL16 3TF",-3.4214828,53.1834915
"35","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North Denbighshire","Park House Surgery"," LL19 9LN",-3.3997954,53.3353409
"36","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North West Flintshire","Bodowen Surgery"," CH8 7GA",-3.2175953,53.2704502
"37","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Central Wrexham","St. George's Crescent Surgery"," LL13 8DB",-2.9892053,53.0454581
"38","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy East","Rhoslan"," LL29 7DA",-3.7330578,53.2960021
"39","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North West Flintshire","Allt Goch Medical Centre"," CH6 5UZ",-3.1371529,53.2464607
"40","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Central & South Denbighshire","Beech House Surgery"," LL16 3AU",-3.4144527,53.1858766
"41","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Central & South Denbighshire","The Clinic"," LL15 1BG",-3.3093189,53.1157013
"42","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North East Flintshire","Shotton Lane Surgery"," CH5 1QT",-3.0367714,53.2092435
"43","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North West Flintshire","Pennant Surgery"," CH8 7TR",-3.2201157,53.2731213
"44","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy East","Gwrych Medical Centre"," LL22 8LJ",-3.5971577,53.287976
"45","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North East Flintshire","Deeside Medical Centre"," CH5 1QA",-3.0377497,53.2113115
"46","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North East Flintshire","The Quay Health Centre"," CH5 4PJ",-3.0508865,53.213947
"47","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Central Wrexham","Beechley Medical Centre"," LL13 7PU",-3.0018322,53.0393472
"48","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","South Wrexham","The Medical Centre"," LL14 6NH",-3.0391704,52.9875607
"49","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","South Flintshire","Leeswood Surgery"," CH7 4RQ",-3.0890731,53.1294366
"50","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North West Flintshire","Eyton Place Surgery"," CH6 5AF",-3.1378262,53.247542
"51","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Central & South Denbighshire","The Health Centre"," LL21 0DN",-3.3732494,52.9813297
"52","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy East","Rysseldene Surgery"," LL29 7LE",-3.733191,53.2974386
"53","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy East","16 Wynn Avenue"," LL29 9RF",-3.6952432,53.2902711
"54","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North East Flintshire","Queensferry Medical Practice"," CH5 1SY",-3.0241355,53.2067999
"55","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North Denbighshire","Madryn House Surgery"," LL18 4RS",-3.4746018,53.3166137
"56","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Central Wrexham","Borras Park Surgery"," LL12 7TH",-2.9712375,53.0596838
"57","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North West Flintshire","The Laurels Surgery"," CH6 5AF",-3.1378262,53.247542
"58","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North & West Wrexham","The Health Centre"," LL11 3NS",-3.0662941,53.0526751
"59","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Central & South Denbighshire","Middle Lane Surgery"," LL16 3UW",-3.4169068,53.1858654
"60","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Central Wrexham","Hillcrest Medical Centre"," LL13 8RG",-2.9842416,53.0495356
"61","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","South Wrexham","The Health Centre"," LL14 1AA",-3.0569018,53.010292
"62","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North East Flintshire","St Mark's Dee View Surgery (Quay Health Centre)"," CH5 4PJ",-3.0508865,53.213947
"63","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","South Wrexham","The Surgery"," SY13 3DL",-2.8329686,52.9448666
"64","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North East Flintshire","Dr Lodhi"," CH5 4DQ",-3.0515864,53.2168444
"65","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","South Flintshire","Caergwrle Medical Practice"," LL12 9LG",-3.0408676,53.1106578
"66","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","South Wrexham","Crane Medical Centre"," LL14 3AB",-3.0744757,52.9725573
"67","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North Denbighshire","Lakeside Medical Centre"," LL18 1LR",-3.5003556,53.3147014
"68","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North Denbighshire","Kings House Surgery"," LL18 1LT",-3.4931439,53.3175338
"69","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Central & South Denbighshire","Berllan Surgery"," LL16 3BL",NA,NA
"70","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","South Flintshire","Bromfield Medical Centre"," CH7 1JY",-3.1366375,53.1613987
"71","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Central Wrexham","The Health Centre"," LL13 8TH",-2.9714899,53.0457031
"72","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","Conwy East","Tyn-y-Coed Surgery"," LL29 7LG",-3.7335335,53.2970021
"73","BETSI CADWALADR UNIVERSITY LOCAL HEALTH BOARD","North West Flintshire","Panton Surgery"," CH8 7TZ",-3.217519,53.2693453
"74","HYWEL DDA LOCAL HEALTH BOARD","North Pembrokeshire","St Thomas Surgery"," SA61 1QX",-4.970506,51.7982199
