Pharmacy Name,Address,City,Province,lon,lat
AIRDRIE DRUG MART,101-124 1 AVE NE,Airdrie,Alberta,-114.0121116,51.2928129
AIRDRIE MEDICAL REMEDY'S RX PHARMACY,10-620 1 AVE NW,Airdrie,Alberta,-114.022905,51.293117
APPLE PHARMACY,229 1 ST SW,Airdrie,Alberta,-114.0153942,51.2902919
CALGARY CO-OP PHARMACY #19,100-2700 MAIN ST,Airdrie,Alberta,-114.0128842,51.2908601
CREEKSIDE PHARMACY,1113-403 MACKENZIE WAY SW,Airdrie,Alberta,-114.0231277,51.2891003
DRUGSTORE PHARMACY #1540,300 VETERANS BLVD NE,Airdrie,Alberta,-114.0093148,51.3014487
LOBLAW PHARMACY #4951,1050 YANKEE VALLEY BLVD,Airdrie,Alberta,-113.9907034,51.2717422
LONDON DRUGS #84,110-2781 MAIN ST SW,Airdrie,Alberta,-114.0075188,51.2638711
MEDICINE SHOPPE PHARMACY 411,3-704 MAIN ST SE,Airdrie,Alberta,-114.0130533,51.2865228
MIDTOWN PHARMASAVE #363,202-1 MIDTOWN BLVD SW,Airdrie,Alberta,-114.0237935,51.2847237
PHARMASAVE #338,101-209 CENTRE AVE SW,Airdrie,Alberta,-114.0156688,51.291186
PHARMASAVE LUXSTONE 3023,101B-2002 LUXSTONE BLVD SW,Airdrie,Alberta,-114.0180162,51.2713661
PHARMEDIC PHARMACY #4,506-3 STONEGATE DR NW,Airdrie,Alberta,-114.0142852,51.3012459
POLARIS TRAVEL CLINIC AND PHARMACY,404-191 EDWARDS WAY SW,Airdrie,Alberta,-114.0198484,51.2916011
SAFEWAY PHARMACY #8830,TOWER LANE MALL,Airdrie,Alberta,-114.0178831,51.2886391
SANDSTONE PHARMACIES AIRDRIE,25-1301 8 ST SW,Airdrie,Alberta,-114.025604,51.2725396
SAVE-ON-FOODS PHARMACY #6602,1400 MARKET ST SE,Airdrie,Alberta,-113.9908645,51.2702318
SAVE-ON-FOODS PHARMACY #6603 - AIRDRIE WEST,601-401 COOPERS BLVD SW,Airdrie,Alberta,-114.0213644,51.2569043
