Name ,lon,lat
AMC Medical Clinic,101.9046516,2.6925104
"Auditorium BDA, Wisma BDA",113.0510528,3.2081785
"Auditorium BDA, Wisma Bintulu",113.0505919,3.2083228
Axiata Arena Bukit Jalil,101.6934357,3.0538134
Balai Raya Felda Chiku 5,102.3463875,4.8621161
Balai Raya Sebauh,113.264143,3.1177387
Bilik Gerakan JKK Simpang Pelangai,102.194528,3.175314
Borneo Convention Centre Kuching (BCCK),110.4056014,1.5626183
Christian Ecumenical Worship Centre,110.344136,1.521799
Dewan 2020,100.1949794,6.4148905
Dewan ADTEC,100.7436226,4.8537574
"Dewan Al Hana, Kedah",100.746754,5.824831
Dewan Al- Muktafi Billah Shah UniSZA,103.0781619,5.3997172
"Dewan Alwy, Jabatan Perhutanan Semenanjung Malaysia",101.6296346,3.2360267
Dewan Apam Putra Lubok Jong,102.1299215,6.0314197
Dewan APMM,101.7054726,2.9697955
Dewan Aspirasi UiTM,103.4417181,4.7062365
"Dewan Badminton Kompleks Sukan LADA, Kuah",99.8584233,6.3314716
Dewan Balai Polis Kabong,111.2071833,1.9212352
"Dewan Balai Polis Kabong, Kabong",111.2071833,1.9212352
"Dewan Balora Benta, Lipis",101.9666078,4.0143195
Dewan Bandar Pasir Mas,102.1451046,6.0436
Dewan Bandaran Kampar,101.1610722,4.3015439
"Dewan Bandaran Kinta, Batu Gajah",101.0360409,4.4754781
Dewan Bandaran Kulim,100.5585594,5.3693666
Dewan Bandaran Pengkalan Hulu,100.9946636,5.7016573
Dewan Bandaran Teluk Intan,101.0246905,4.0227586
"Dewan Belia Arena KBBS, Pitas",118.6069714,4.4826646
Dewan Besar ADTEC,100.7436226,4.8537574
Dewan Besar Dara Muadzam Shah,103.0774027,3.0629458
Dewan Besar Felcra Seberang Perak,100.9038076,4.141135
Dewan Besar Gemas,102.5946518,2.5812816
Dewan Bunga Raya Pantai Seri Tujuh,102.1271678,6.2168427
Dewan Bunga Tanjung,102.1977964,2.2649615
"Dewan Canseleri Sultan Haji Ahmad Shah, Drb Hicom",103.3874747,3.5275499
"Dewan Cenderawasih, Pekan Pendang",100.4771107,5.9912128
Dewan Chu Rahimah Jerantut,102.3394181,3.9855068
Dewan CREATE,102.2056068,2.453687
Dewan CTRM,101.583461,3.092365
Dewan Dagang Politeknik Sultan Mizan Zainal Abidin,103.4021673,4.7101697
Dewan Dato Bahaman,102.2444786,2.7406771
"Dewan Dato' Mohamed Jamrah, Sg Sumun",100.8527679,3.8898665
Dewan Dato Permysuri Permyjaya,114.0370847,4.4575358
Dewan Dato Permysuri Permyjaya,114.0370847,4.4575358
Dewan Dato' Seri Amar Diraja,103.426072,4.229611
Dewan Datok Zainal Abidin Zin,100.5347843,5.0145614
Dewan Datu Paduka Mat Salleh PPD,117.8349174,5.5902625
Dewan Dinner World,101.7209746,3.1592548
Dewan D'Sury,102.0716408,2.938829
Dewan Eastwood Valley,114.017184,4.370578
Dewan Felda Kemahang 1,102.0060394,5.8491161
"Dewan Feldajaya Trolak, Sungkai",101.3470846,3.9299874
Dewan Gong Kemuntong,102.5035095,5.7422619
Dewan Hang Tuah,102.2479103,2.201409
Dewan IKBN,103.0984401,3.4687726
Dewan IKBN,103.0984401,3.4687726
"Dewan Inderawati , Beruas",100.7817158,4.50256
"Dewan IPD Kunak, Kunak",118.2520294,4.686387
Dewan IPG Balung,117.9139822,4.284076386
Dewan IPS Telupid,117.1227245,5.6265052
Dewan Japerun Ayer Molek,102.3145594,2.206886
Dewan Japerun Klebang,102.2052818,2.2101572
Dewan Japerun Sg Udang,102.1310023,2.2897683
Dewan JKKK Kampung Sungai Koyan 1,101.8220198,4.219352
Dewan Jubli Intan,103.7594499,1.4573106
Dewan Jubli Intan Kluang,103.3193199,2.0315346
Dewan Jubli Intan Kota Tinggi,103.9012402,1.7361803
Dewan Jubli Intan Pontian,103.3876009,1.4865347
