Name,Address,Province,lon,lat
Rexall,L7J 2Y5,Ontario,-80.0260705,43.6385685
Shoppers Drug Mart,L7J 1P6,Ontario,-80.0316604,43.6337122
Sobeys Pharmacy,L7J 2N3,Ontario,-80.0267693,43.6380357
Urgent Care Pharmacy,L7J 0A5,Ontario,-80.0362892,43.6335985
Ajax Guardian Pharmacy,L1T 0B8,Ontario,-79.0597388,43.8653827
Ajax Pharmachoice,L1Z 0T4,Ontario,-79.0251346,43.8788571
Bowen's Pharmacy,L1S 2H6,Ontario,-79.0208893,43.8486381
Costco Pharmacy,L1Z 1E5,Ontario,-79.0182399,43.8656459
Food Basics Pharmacy,L1S 2J1,Ontario,-79.0200062,43.8448627
Health-Rite Pharmacy,L1S 7K7,Ontario,-79.0230088,43.8420541
Real Canadian Superstore,L1T 4K8,Ontario,-79.0298967,43.8611688
Rexall,L1S 2H6,Ontario,-79.0208893,43.8486381
Rexall,L1T 3H4,Ontario,-79.0387267,43.8676302
Rexall,L1S 3K7,Ontario,-79.0166502,43.8311041
Shoppers Drug Mart,L1T 0J9,Ontario,-79.0171801,43.8858987
Shoppers Drug Mart,L1T 1P4,Ontario,-79.0408458,43.8583921
Shoppers Drug Mart,L1S 2J1,Ontario,-79.0200062,43.8448627
Shoppers Drug Mart,L1T 0K9,Ontario,-79.0434149,43.885466
Sobeys Pharmacy,L1T 4E4,Ontario,-79.0387267,43.8587773
Wal-Mart Pharmacy,L1Z 1G1,Ontario,-79.0150605,43.8662229
Wynplus Pharmacy,L1T 0K3,Ontario,-79.0336054,43.89678
Pharmacie Alban Pharmacy,P0M 1A0,Ontario,-80.5987639,46.076873
Shoppers Drug Mart,K0C 1A0,Ontario,-74.6453718,45.3024933
Pharmacie Alfred,K0B 1A0,Ontario,-74.8690771,45.5640219
Drugstore Pharmacy,L9R 1H6,Ontario,-79.8783334,44.1512377
Rexall,L9R 2A9,Ontario,-79.8852978,44.1477247
Shoppers Drug Mart,L9R 1L5,Ontario,-79.8671336,44.1555269
Wal-Mart Pharmacy,L9R 0G1,Ontario,-79.8670169,44.152552
Windsor House Pharmacy,L9R 1S8,Ontario,-79.8708087,44.1539452
Almonte Remedy's Rx,K0A 1A0,Ontario,-76.2387876,45.2031206
Rexall Pharma Plus,K0A 1A0,Ontario,-76.2387876,45.2031206
Shoppers Drug Mart,K0A 1A0,Ontario,-76.2387876,45.2031206
Rexall,N9V 1Z5,Ontario,-83.1096035,42.1087289
Shoppers Drug Mart,N9V 1Z9,Ontario,-83.1089329,42.1049975
Wal-Mart Pharmacy,N9V 3L4,Ontario,-83.1089329,42.0969992
Hunt's Pharmacy,K7N 1Z6,Ontario,-76.660583,44.215551
Pharmasave Loyalist Pharmacy,K7N 1Y7,Ontario,-76.6636919,44.2224743
Shoppers Drug Mart,K7N 1N1,Ontario,-76.642408,44.2195134
Costco Pharmacy,L9K 1J3,Ontario,-79.9493483,43.2293187
Fortinos,L9G 1N2,Ontario,-79.9886791,43.2164677
People's Pharmachoice,L9K 1S5,Ontario,-79.9368462,43.2273887
Rastin's Wilson St. Pharmacy,L9G 4A8,Ontario,-79.9768817,43.2262853
Rexall,L9G 4S4,Ontario,-79.975396,43.2272773
Shoppers Drug Mart,L9G 3K9,Ontario,-79.9947956,43.1967827
Shoppers Drug Mart,L9G 1N1,Ontario,-79.9888538,43.2175315
Sobeys Pharmacy,L9K 1K1,Ontario,-79.9434035,43.2284932
St George Ancaster Pharmacy,L9G 3K9,Ontario,-79.9947956,43.1967827
Wal-Mart Pharmacy,L9G 3K9,Ontario,-79.9947956,43.1967827
Angus Borden Guardian Pharmacy,L0M 1B2,Ontario,-79.8940806,44.3160349
Rainbow Pharmasave,L0M 1B0,Ontario,-79.8758835,44.3202687
Shoppers Drug Mart,L0M 1B2,Ontario,-79.8940806,44.3160349
Excellent Care Pharmacy,K7S 3G9,Ontario,-76.4709656,45.3889672
Rexall,K7S 3G8,Ontario,-76.4774686,45.4280519
Shoppers Drug Mart,K7S 1N6,Ontario,-76.3550597,45.4340007
Walsh's IDA Pharmacy,N0G 1A0,Ontario,-80.5216184,43.835371
Aurora IDA Pharmacy,L4G 3G3,Ontario,-79.4302004,44.0265193
Care Drugs,L4G 3W3,Ontario,-79.4709158,44.0101585
Family Drug Mart,L4G 0R5,Ontario,-79.4452484,44.0124829
Lighthouse IDA Compounding Pharmacy,L4G 8A3,Ontario,-79.4472704,44.0127447
Pharmasave Aurora,L4G 2N9,Ontario,-79.4789135,43.9972799
Real Canadian Superstore,L4G 7Y3,Ontario,-79.4485891,44.0211847
Shoppers Drug Mart,L4G 1N9,Ontario,-79.4695975,44.0039254
Shoppers Drug Mart,L4G 1N1,Ontario,-79.4637086,43.9887244
Shoppers Drug Mart,L4G 3H1,Ontario,-79.4669827,44.0000563
Sobeys Pharmacy,L4G 7J1,Ontario,-79.4457759,44.0091458
Wal-Mart Pharmacy,L4G 0G2,Ontario,-79.4120108,44.0142412
